Datetime;A;Y;Er
2024-05-14 13:15:00;593275.5082163031;-4.2305359945917225;-1512480700.4549415
2024-05-14 13:30:00;13963.139270401438;-2.725854257703841;24.290160653997113
2024-05-14 13:45:00;415096.11366140365;-4.13240420750692;-1282982496.964416
2024-05-14 14:00:00;511100.2505121864;-4.194786864864909;-844383660.4372702
2024-05-14 14:15:00;22917.781512791353;-2.9498996337953973;28.627280585959333
2024-05-14 14:30:00;19432.51642277146;-2.9169903377948856;28.65582272872601
2024-05-14 14:45:00;389279.9694373305;-4.156625700951159;-844316059.2610201
2024-05-14 15:00:00;18494.653373810725;-2.909988740819026;28.99701358132434
2024-05-14 15:15:00;456062.1302324998;-4.20225730764451;-1563678724.6906996
2024-05-14 15:30:00;20306.28200840988;-2.9419935463485447;28.950395937481076
2024-05-14 15:45:00;15650.981725990674;-2.865098522119475;29.045503073177798
2024-05-14 16:00:00;443086.7307380399;-4.2065067992401275;-2076514632.1459756
2024-05-14 16:15:00;606862.6134630366;-4.304766825682253;-855122402.5146625
2024-05-14 16:30:00;430597.12127921486;-4.217886304997308;-1749169335.9154296
2024-05-14 16:45:00;371216.39651175006;-4.172120518234512;-2382080309.496255
2024-05-14 17:00:00;12623.370611690885;-2.7959915522272065;26.224191623430656
2024-05-14 17:15:00;317707.1361349347;-4.131232100237604;-1684601436.283432
2024-05-14 17:30:00;13735.411392998558;-2.8664995371998327;28.741299285814023
2024-05-14 17:45:00;398043.32171091327;-4.204000556358982;-788584485.0939378
2024-05-14 18:00:00;407651.850105939;-4.231435040762616;-1007048059.9861819
2024-05-14 18:15:00;378699.0514438844;-4.1971531472379215;-1506049765.6083539
2024-05-14 18:30:00;344440.6456017323;-4.177945609467601;-2019771003.7773843
2024-05-14 18:45:00;317730.07255280047;-4.15791456159177;-2399385888.6940465
2024-05-14 19:00:00;303871.6218074828;-4.157940599892478;-965208013.6571703
2024-05-14 19:15:00;9692.205833418693;-2.7670917567737185;26.689435933147937
2024-05-14 19:30:00;296764.5419937543;-4.149647222246;-811534155.8138347
2024-05-14 19:45:00;274508.84008499625;-4.133324368955403;-1998452045.5543554
2024-05-14 20:00:00;9665.601132311116;-2.781782856719441;26.434611785603437
2024-05-14 20:15:00;363755.710964867;-4.230621470328099;-2111887127.328961
2024-05-14 20:30:00;239144.76193292448;-4.099597533432938;-1512368253.2555742
2024-05-14 20:45:00;177315.60029668096;-4.021106006134678;-694960386.9329529
2024-05-14 21:00:00;14812.527084194064;-3.007480089885536;35.338212202242275
2024-05-14 21:15:00;261901.25547939033;-4.136320638660543;-1639503776.661318
2024-05-14 21:30:00;10791.314178522254;-2.9021628285776226;33.38983364048527
2024-05-14 21:45:00;236978.25576602455;-4.117331132575342;-1305818223.3026102
2024-05-14 22:00:00;11088.64125226197;-2.9215087104363375;34.990198157774024
2024-05-14 22:15:00;216186.68382954752;-4.10458085392816;-2197532117.6209297
2024-05-14 22:30:00;7567.035287507052;-2.78494430625901;30.848224311630112
2024-05-14 22:45:00;8441.146126595877;-2.82207945372013;30.334924217423037
2024-05-14 23:00:00;10154.721042041445;-2.93122793801329;37.36192158215969
2024-05-14 23:15:00;5567.834189197496;-2.687848023240113;29.370250758834434
